id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:tx/county:aransas/school_district:aransas_county_isd,aransas county isd,,,,4808550,,,,,004901,,
ocd-division/country:us/state:tx/county:archer/school_district:archer_city_isd,archer city isd,,,,4808610,,,,,005901,,
ocd-division/country:us/state:tx/county:archer/school_district:holliday_isd,holliday isd,,,,4823400,,,,,005902,,
ocd-division/country:us/state:tx/county:archer/school_district:windthorst_isd,windthorst isd,,,,4846080,,,,,005904,,
ocd-division/country:us/state:tx/county:armstrong/school_district:claude_isd,claude isd,,,,4814250,,,,,006902,,
ocd-division/country:us/state:tx/county:atascosa/school_district:charlotte_isd,charlotte isd,,,,4813710,,,,,007901,,
ocd-division/country:us/state:tx/county:atascosa/school_district:jourdanton_isd,jourdanton isd,,,,4824960,,,,,007902,,
ocd-division/country:us/state:tx/county:atascosa/school_district:lytle_isd,lytle isd,,,,4828650,,,,,007904,,
ocd-division/country:us/state:tx/county:atascosa/school_district:pleasanton_isd,pleasanton isd,,,,4835190,,,,,007905,,
ocd-division/country:us/state:tx/county:atascosa/school_district:poteet_isd,poteet isd,,,,4835520,,,,,007906,,
ocd-division/country:us/state:tx/county:austin/school_district:bellville_isd,bellville isd,,,,4809810,,,,,008901,,
ocd-division/country:us/state:tx/county:austin/school_district:brazos_isd,brazos isd,,,,4844470,,,,,008903,,
ocd-division/country:us/state:tx/county:austin/school_district:sealy_isd,sealy isd,,,,4839630,,,,,008902,,
ocd-division/country:us/state:tx/county:bailey/school_district:muleshoe_isd,muleshoe isd,,,,4831890,,,,,009901,,
ocd-division/country:us/state:tx/county:bandera/school_district:bandera_isd,bandera isd,,,,4809360,,,,,010902,,
ocd-division/country:us/state:tx/county:bandera/school_district:medina_isd,medina isd,,,,4830030,,,,,010901,,
ocd-division/country:us/state:tx/county:bastrop/school_district:bastrop_isd,bastrop isd,,,,4809570,,,,,011901,,
